parish_id,parish_name,vicariate,address,lat,lng,priest,established,fiesta_day,phone,email,facebook,brief_history,patron_name,patron_story,mass_mon,mass_tue,mass_wed,mass_thu,mass_fri,mass_sat,mass_sun,confession_times,office_hours,collected_by,collected_date,notes
parish-mary-help-of-christians,Mary Help of Christians Parish,Vicariate of San Roque,"Maypajo, Caloocan City",14.637702,120.97344,,"April 27, 1956",May 24,,,,,Mary Help of Christians,,6:00 AM,6:00 AM,6:00 AM / 6:00 PM,6:00 AM / 6:00 PM,6:00 AM / 6:00 PM,6:00 AM / 6:00 PM,"6:00 AM, 7:30 AM, 9:00 AM, 10:30 AM, 4:30 PM, 6:00 PM",,,,,EXAMPLE ROW - real data already confirmed
parish-san-roque-cathedral,San Roque Cathedral,Vicariate of San Roque,"A. Mabini St, Caloocan City",14.651647,120.972648,Rev. Fr. Rufino P. Yabut,"April 8, 1815",August 16,,,,,St. Roque,,,,,,,,,,,,,NEEDS REAL MASS TIMES - app currently shows sample data
